name,team,hand,game,pa,atBat,hit,twoBaseHit,threeBaseHit,homerun,rbi,strikeOut
名前,チーム,右0/左1/両2,試合数,打席数,打数,安打,２塁打,３塁打,本塁打,打点,三振
大谷　翔平,f,1,104,382,323,104,18,1,22,67,98
金子　侑司,l,2,129,520,460,122,12,3,1,33,69
新井　貴浩,c,0,132,513,454,136,23,2,19,101,101
