大谷　翔平, f, 0, 21試合, 10勝, 4敗, 0セーブ, 1HP, 防御率420, 勝率1.86
大谷　翔平, f, 1, 104試合, 打率0.0, 382打席, 104安打, 22本塁打, 67打点, 三振98, 長打率0.58
和田　毅, h, 1, 24試合, 15勝, 5敗, 0セーブ, 0HP, 防御率489, 勝率3.03
金子　侑司, l, 2, 129試合, 打率0.0, 520打席, 122安打, 1本塁打, 33打点, 三振69, 長打率0.30
マシソン, g, 0, 70試合, 8勝, 4敗, 1セーブ, 49HP, 防御率240, 勝率2.36
新井　貴浩, c, 0, 132試合, 打率0.0, 513打席, 136安打, 19本塁打, 101打点, 三振101, 長打率0.48
