瀬川　隼郎, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
武田　勝, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
田中　豊樹, (日), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.00, 勝率0.000
中村　勝, (日), 右投げ, 2試合, 0勝, 1敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
藤岡　好明, (日), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
藤岡　好明, (日), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
藤岡　好明, (日), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
藤岡　好明, (日), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
吉川　光夫, (日), 左投げ, 27試合, 7勝, 6敗, 3セーブ, 0HP, 防御率4.19, 勝率0.538
飯田　優也, (ソ), 左投げ, 30試合, 1勝, 0敗, 0セーブ, 5HP, 防御率3.29, 勝率1.000
大隣　憲司, (ソ), 左投げ, 1試合, 1勝, 0敗, 0セーブ, 0HP, 防御率1.50, 勝率1.000
加治屋　蓮, (ソ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
加治屋　蓮, (ソ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
加治屋　蓮, (ソ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
千賀　滉大, (ソ), 右投げ, 25試合, 12勝, 3敗, 0セーブ, 0HP, 防御率2.61, 勝率0.800
千賀　滉大, (ソ), 右投げ, 25試合, 12勝, 3敗, 0セーブ, 0HP, 防御率2.61, 勝率0.800
中田　賢一, (ソ), 右投げ, 17試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.01, 勝率0.700
バンデンハーク, (ソ), 右投げ, 13試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.84, 勝率0.700
バンデンハーク, (ソ), 右投げ, 13試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.84, 勝率0.700
バンデンハーク, (ソ), 右投げ, 13試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.84, 勝率0.700
バンデンハーク, (ソ), 右投げ, 13試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.84, 勝率0.700
バンデンハーク, (ソ), 右投げ, 13試合, 7勝, 3敗, 0セーブ, 0HP, 防御率3.84, 勝率0.700
松坂　大輔, (ソ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率18.00, 勝率0.000
松本　裕樹, (ソ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
柳瀬　明宏, (ソ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
柳瀬　明宏, (ソ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
和田　毅, (ソ), 左投げ, 24試合, 15勝, 5敗, 0セーブ, 0HP, 防御率3.04, 勝率0.750
阿部　和成, (ロ), 右投げ, 13試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.67, 勝率0.000
石川　歩, (ロ), 右投げ, 23試合, 14勝, 5敗, 0セーブ, 0HP, 防御率2.16, 勝率0.737
石川　歩, (ロ), 右投げ, 23試合, 14勝, 5敗, 0セーブ, 0HP, 防御率2.16, 勝率0.737
石川　歩, (ロ), 右投げ, 23試合, 14勝, 5敗, 0セーブ, 0HP, 防御率2.16, 勝率0.737
金森　敬之, (ロ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率36.00, 勝率0.000
唐川　侑己, (ロ), 右投げ, 15試合, 6勝, 6敗, 0セーブ, 0HP, 防御率2.84, 勝率0.500
唐川　侑己, (ロ), 右投げ, 15試合, 6勝, 6敗, 0セーブ, 0HP, 防御率2.84, 勝率0.500
黒沢　翔太, (ロ), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
スタンリッジ, (ロ), 右投げ, 27試合, 8勝, 8敗, 0セーブ, 0HP, 防御率3.56, 勝率0.500
高野　圭佑, (ロ), 右投げ, 14試合, 1勝, 0敗, 0セーブ, 3HP, 防御率5.87, 勝率1.000
高野　圭佑, (ロ), 右投げ, 14試合, 1勝, 0敗, 0セーブ, 3HP, 防御率5.87, 勝率1.000
チェン・グァンユウ, (ロ), 左投げ, 7試合, 1勝, 1敗, 0セーブ, 0HP, 防御率4.01, 勝率0.500
二木　康太, (ロ), 右投げ, 22試合, 7勝, 9敗, 0セーブ, 0HP, 防御率5.34, 勝率0.438
二木　康太, (ロ), 右投げ, 22試合, 7勝, 9敗, 0セーブ, 0HP, 防御率5.34, 勝率0.438
宮_　敦次, (ロ), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
宮_　敦次, (ロ), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
宮_　敦次, (ロ), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
岩尾　利弘, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率9.00, 勝率0.000
ウルフ, (西), 右投げ, 4試合, 4勝, 0敗, 0セーブ, 0HP, 防御率3.04, 勝率1.000
岡本　篤志, (西), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.75, 勝率0.000
岡本　篤志, (西), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.75, 勝率0.000
郭　俊麟, (西), 右投げ, 12試合, 0勝, 3敗, 0セーブ, 0HP, 防御率8.46, 勝率0.000
菊池　雄星, (西), 左投げ, 22試合, 12勝, 7敗, 0セーブ, 0HP, 防御率2.58, 勝率0.632
小石　博孝, (西), 左投げ, 50試合, 0勝, 2敗, 1セーブ, 2HP, 防御率3.74, 勝率0.000
小石　博孝, (西), 左投げ, 50試合, 0勝, 2敗, 1セーブ, 2HP, 防御率3.74, 勝率0.000
小石　博孝, (西), 左投げ, 50試合, 0勝, 2敗, 1セーブ, 2HP, 防御率3.74, 勝率0.000
小石　博孝, (西), 左投げ, 50試合, 0勝, 2敗, 1セーブ, 2HP, 防御率3.74, 勝率0.000
佐藤　勇, (西), 左投げ, 7試合, 1勝, 3敗, 0セーブ, 0HP, 防御率5.76, 勝率0.250
_橋　光成, (西), 右投げ, 22試合, 4勝, 11敗, 0セーブ, 0HP, 防御率4.42, 勝率0.267
_橋　朋己, (西), 左投げ, 7試合, 1勝, 0敗, 1セーブ, 4HP, 防御率1.69, 勝率1.000
多和田　真三郎, (西), 右投げ, 18試合, 7勝, 5敗, 0セーブ, 0HP, 防御率4.38, 勝率0.583
中_　雄太, (西), 左投げ, 8試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
中_　雄太, (西), 左投げ, 8試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
中_　雄太, (西), 左投げ, 8試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
ポーリーノ, (西), 右投げ, 9試合, 0勝, 6敗, 0セーブ, 0HP, 防御率4.70, 勝率0.000
ポーリーノ, (西), 右投げ, 9試合, 0勝, 6敗, 0セーブ, 0HP, 防御率4.70, 勝率0.000
誠, (西), 右投げ, 2試合, 0勝, 2敗, 0セーブ, 0HP, 防御率11.74, 勝率0.000
松本　直晃, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
松本　直晃, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
松本　直晃, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
松本　直晃, (西), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
相原　和友, (楽), 左投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率45.00, 勝率0.000
石橋　良太, (楽), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
入野　貴大, (楽), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率12.27, 勝率0.000
入野　貴大, (楽), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率12.27, 勝率0.000
小野　郁, (楽), 右投げ, 11試合, 0勝, 0敗, 0セーブ, 0HP, 防御率8.78, 勝率0.000
加藤　正志, (楽), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率18.00, 勝率0.000
釜田　佳直, (楽), 右投げ, 20試合, 7勝, 5敗, 0セーブ, 0HP, 防御率4.14, 勝率0.583
釜田　佳直, (楽), 右投げ, 20試合, 7勝, 5敗, 0セーブ, 0HP, 防御率4.14, 勝率0.583
釜田　佳直, (楽), 右投げ, 20試合, 7勝, 5敗, 0セーブ, 0HP, 防御率4.14, 勝率0.583
川井　貴志, (楽), 左投げ, 5試合, 0勝, 1敗, 0セーブ, 0HP, 防御率8.22, 勝率0.000
菊池　保則, (楽), 右投げ, 7試合, 1勝, 1敗, 0セーブ, 0HP, 防御率5.16, 勝率0.500
塩見　貴洋, (楽), 左投げ, 24試合, 8勝, 10敗, 0セーブ, 0HP, 防御率3.89, 勝率0.444
塩見　貴洋, (楽), 左投げ, 24試合, 8勝, 10敗, 0セーブ, 0HP, 防御率3.89, 勝率0.444
則本　昂大, (楽), 右投げ, 28試合, 11勝, 11敗, 0セーブ, 0HP, 防御率2.91, 勝率0.500
濱矢　廣大, (楽), 左投げ, 13試合, 2勝, 0敗, 0セーブ, 3HP, 防御率10.24, 勝率1.000
濱矢　廣大, (楽), 左投げ, 13試合, 2勝, 0敗, 0セーブ, 3HP, 防御率10.24, 勝率1.000
濱矢　廣大, (楽), 左投げ, 13試合, 2勝, 0敗, 0セーブ, 3HP, 防御率10.24, 勝率1.000
古川　侑利, (楽), 右投げ, 6試合, 0勝, 0敗, 0セーブ, 0HP, 防御率7.71, 勝率0.000
美馬　学, (楽), 右投げ, 26試合, 9勝, 9敗, 0セーブ, 0HP, 防御率4.30, 勝率0.500
美馬　学, (楽), 右投げ, 26試合, 9勝, 9敗, 0セーブ, 0HP, 防御率4.30, 勝率0.500
武藤　好貴, (楽), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
山内　壮馬, (楽), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
リズ, (楽), 右投げ, 5試合, 0勝, 3敗, 0セーブ, 1HP, 防御率6.94, 勝率0.000
青山　大紀, (オ), 右投げ, 1試合, 0勝, 1敗, 0セーブ, 0HP, 防御率6.75, 勝率0.000
大山　暁史, (オ), 左投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.08, 勝率0.000
大山　暁史, (オ), 左投げ, 3試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.08, 勝率0.000
角屋　龍太, (オ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率11.57, 勝率0.000
金子　千尋, (オ), 右投げ, 24試合, 7勝, 9敗, 0セーブ, 0HP, 防御率3.83, 勝率0.438
コーディエ, (オ), 右投げ, 13試合, 0勝, 2敗, 2セーブ, 0HP, 防御率7.30, 勝率0.000
コーディエ, (オ), 右投げ, 13試合, 0勝, 2敗, 2セーブ, 0HP, 防御率7.30, 勝率0.000
コーディエ, (オ), 右投げ, 13試合, 0勝, 2敗, 2セーブ, 0HP, 防御率7.30, 勝率0.000
コーディエ, (オ), 右投げ, 13試合, 0勝, 2敗, 2セーブ, 0HP, 防御率7.30, 勝率0.000
近藤　一樹, (オ), 右投げ, 5試合, 2勝, 2敗, 0セーブ, 0HP, 防御率8.24, 勝率0.500
近藤　大亮, (オ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
佐藤　峻一, (オ), 右投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率13.50, 勝率0.000
佐藤　達也, (オ), 右投げ, 43試合, 1勝, 4敗, 0セーブ, 13HP, 防御率5.01, 勝率0.200
鈴木　優, (オ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率33.75, 勝率0.000
_木　伴, (オ), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
ディクソン, (オ), 右投げ, 27試合, 9勝, 11敗, 0セーブ, 0HP, 防御率4.36, 勝率0.450
ディクソン, (オ), 右投げ, 27試合, 9勝, 11敗, 0セーブ, 0HP, 防御率4.36, 勝率0.450
ディクソン, (オ), 右投げ, 27試合, 9勝, 11敗, 0セーブ, 0HP, 防御率4.36, 勝率0.450
西　勇輝, (オ), 右投げ, 26試合, 10勝, 12敗, 0セーブ, 0HP, 防御率4.14, 勝率0.455
八木　亮祐, (オ), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
山_　福也, (オ), 左投げ, 17試合, 3勝, 2敗, 0セーブ, 0HP, 防御率3.67, 勝率0.600
吉田　一将, (オ), 右投げ, 54試合, 5勝, 2敗, 1セーブ, 26HP, 防御率2.66, 勝率0.714
吉田　一将, (オ), 右投げ, 54試合, 5勝, 2敗, 1セーブ, 26HP, 防御率2.66, 勝率0.714
吉田　一将, (オ), 右投げ, 54試合, 5勝, 2敗, 1セーブ, 26HP, 防御率2.66, 勝率0.714
吉田　一将, (オ), 右投げ, 54試合, 5勝, 2敗, 1セーブ, 26HP, 防御率2.66, 勝率0.714
吉田　一将, (オ), 右投げ, 54試合, 5勝, 2敗, 1セーブ, 26HP, 防御率2.66, 勝率0.714
吉田　一将, (オ), 右投げ, 54試合, 5勝, 2敗, 1セーブ, 26HP, 防御率2.66, 勝率0.714
