name,team,hand,game,win,loss,save,hp,out,er
名前,チーム,利き腕,試合,勝,敗,セーブ,HP,アウト数,自責点
大谷　翔平,f,0,21,10,4,0,1,420,29
和田　毅,h,1,24,15,5,0,0,489,55
マシソン,g,0,70,8,4,1,49,240,21
