野村　祐輔, (広), 右投げ, 25試合, 16勝, 3敗, 0セーブ, 0HP, 防御率2.71, 勝率0.842
ジョンソン, (広), 左投げ, 26試合, 15勝, 7敗, 0セーブ, 0HP, 防御率2.15, 勝率0.682
メッセンジャー, (神), 右投げ, 28試合, 12勝, 11敗, 0セーブ, 0HP, 防御率3.01, 勝率0.522
岩貞　祐太, (神), 左投げ, 25試合, 10勝, 9敗, 0セーブ, 0HP, 防御率2.90, 勝率0.526
岩貞　祐太, (神), 左投げ, 25試合, 10勝, 9敗, 0セーブ, 0HP, 防御率2.90, 勝率0.526
石田　健大, (デ), 左投げ, 25試合, 9勝, 4敗, 0セーブ, 0HP, 防御率3.12, 勝率0.692
石田　健大, (デ), 左投げ, 25試合, 9勝, 4敗, 0セーブ, 0HP, 防御率3.12, 勝率0.692
マシソン, (巨), 右投げ, 70試合, 8勝, 4敗, 1セーブ, 49HP, 防御率2.36, 勝率0.667
今永　昇太, (デ), 左投げ, 22試合, 8勝, 9敗, 0セーブ, 0HP, 防御率2.93, 勝率0.471
能見　篤史, (神), 左投げ, 26試合, 8勝, 12敗, 0セーブ, 1HP, 防御率3.67, 勝率0.400
能見　篤史, (神), 左投げ, 26試合, 8勝, 12敗, 0セーブ, 1HP, 防御率3.67, 勝率0.400
石川　雅規, (ヤ), 左投げ, 20試合, 8勝, 8敗, 0セーブ, 0HP, 防御率4.47, 勝率0.500
石川　雅規, (ヤ), 左投げ, 20試合, 8勝, 8敗, 0セーブ, 0HP, 防御率4.47, 勝率0.500
藤浪　晋太郎, (神), 右投げ, 26試合, 7勝, 11敗, 0セーブ, 0HP, 防御率3.25, 勝率0.389
藤浪　晋太郎, (神), 右投げ, 26試合, 7勝, 11敗, 0セーブ, 0HP, 防御率3.25, 勝率0.389
村中　恭兵, (ヤ), 左投げ, 52試合, 7勝, 3敗, 0セーブ, 12HP, 防御率3.90, 勝率0.700
若松　駿太, (中), 右投げ, 19試合, 7勝, 8敗, 0セーブ, 1HP, 防御率4.06, 勝率0.467
又吉　克樹, (中), 右投げ, 62試合, 6勝, 6敗, 0セーブ, 22HP, 防御率2.80, 勝率0.500
ルーキ, (ヤ), 右投げ, 69試合, 6勝, 6敗, 0セーブ, 39HP, 防御率3.06, 勝率0.500
吉見　一起, (中), 右投げ, 21試合, 6勝, 7敗, 0セーブ, 0HP, 防御率3.08, 勝率0.462
石田　健大, (デ), 左投げ, 25試合, 9勝, 4敗, 0セーブ, 0HP, 防御率3.12, 勝率0.692
バルデス, (中), 左投げ, 20試合, 6勝, 7敗, 0セーブ, 0HP, 防御率3.51, 勝率0.462
山中　浩史, (ヤ), 右投げ, 22試合, 6勝, 12敗, 0セーブ, 0HP, 防御率3.54, 勝率0.333
大竹　寛, (巨), 右投げ, 17試合, 6勝, 6敗, 0セーブ, 0HP, 防御率3.55, 勝率0.500
