中村　晃, (ソ), 左打ち, 143試合, 打率0.287, 612打席, 140安打, 7本塁打, 50打点, 53三振, 長打率0.377
坂田　遼, (西), 左打ち, 45試合, 打率0.245, 161打席, 37安打, 3本塁打, 26打点, 22三振, 長打率0.371
今宮　健太, (ソ), 右打ち, 137試合, 打率0.245, 590打席, 122安打, 10本塁打, 56打点, 86三振, 長打率0.370
栗山　巧, (西), 左打ち, 135試合, 打率0.279, 569打席, 133安打, 3本塁打, 41打点, 87三振, 長打率0.369
三好　匠, (楽), 右打ち, 38試合, 打率0.222, 70打席, 14安打, 3本塁打, 6打点, 16三振, 長打率0.365
荻野　貴司, (ロ), 右打ち, 71試合, 打率0.250, 219打席, 48安打, 3本塁打, 21打点, 25三振, 長打率0.365
モレル, (オ), 右打ち, 94試合, 打率0.244, 348打席, 75安打, 8本塁打, 38打点, 88三振, 長打率0.364
ブランコ, (オ), 右打ち, 27試合, 打率0.218, 94打席, 17安打, 3本塁打, 13打点, 26三振, 長打率0.359
嶋　基宏, (楽), 右打ち, 80試合, 打率0.271, 256打席, 54安打, 2本塁打, 17打点, 43三振, 長打率0.357
枡田　慎太郎, (楽), 左打ち, 45試合, 打率0.278, 66打席, 15安打, 1本塁打, 6打点, 23三振, 長打率0.352
小谷野　栄一, (オ), 右打ち, 50試合, 打率0.249, 189打席, 44安打, 4本塁打, 13打点, 30三振, 長打率0.350
ナバーロ, (ロ), 右打ち, 82試合, 打率0.217, 340打席, 62安打, 10本塁打, 44打点, 64三振, 長打率0.350
渡辺　直人, (西), 右打ち, 70試合, 打率0.309, 207打席, 56安打, 0本塁打, 16打点, 20三振, 長打率0.348
鶴岡　慎也, (ソ), 右打ち, 103試合, 打率0.251, 263打席, 58安打, 2本塁打, 26打点, 26三振, 長打率0.346
岡島　豪郎, (楽), 左打ち, 127試合, 打率0.252, 485打席, 106安打, 6本塁打, 35打点, 49三振, 長打率0.345
大野　奨太, (日), 右打ち, 109試合, 打率0.245, 351打席, 69安打, 5本塁打, 35打点, 63三振, 長打率0.344
井上　晴哉, (ロ), 右打ち, 35試合, 打率0.232, 107打席, 23安打, 2本塁打, 16打点, 19三振, 長打率0.343
後藤　光尊, (楽), 左打ち, 50試合, 打率0.250, 138打席, 33安打, 2本塁打, 10打点, 30三振, 長打率0.341
福田　秀平, (ソ), 左打ち, 81試合, 打率0.231, 239打席, 49安打, 3本塁打, 18打点, 51三振, 長打率0.335
拓也, (ソ), 右打ち, 13試合, 打率0.167, 7打席, 1安打, 0本塁打, 1打点, 4三振, 長打率0.333
竹原　直隆, (西), 右打ち, 22試合, 打率0.200, 31打席, 6安打, 1本塁打, 6打点, 4三振, 長打率0.333
バンヘッケン, (西), 右打ち, 10試合, 打率0.333, 4打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.333
福田　将儀, (楽), 右打ち, 36試合, 打率0.200, 74打席, 12安打, 2本塁打, 8打点, 11三振, 長打率0.333
銀次, (楽), 左打ち, 125試合, 打率0.274, 497打席, 116安打, 2本塁打, 43打点, 49三振, 長打率0.333
鬼_　裕司, (西), 左打ち, 79試合, 打率0.253, 216打席, 48安打, 1本塁打, 17打点, 53三振, 長打率0.332
田村　龍弘, (ロ), 右打ち, 130試合, 打率0.256, 430打席, 95安打, 2本塁打, 38打点, 91三振, 長打率0.332
今江　敏晃, (楽), 右打ち, 89試合, 打率0.281, 351打席, 89安打, 3本塁打, 23打点, 30三振, 長打率0.331
西野　真弘, (オ), 左打ち, 143試合, 打率0.264, 610打席, 142安打, 2本塁打, 33打点, 55三振, 長打率0.331
吉村　裕基, (ソ), 右打ち, 78試合, 打率0.209, 206打席, 37安打, 5本塁打, 28打点, 46三振, 長打率0.328
根元　俊一, (ロ), 左打ち, 48試合, 打率0.215, 121打席, 23安打, 2本塁打, 12打点, 30三振, 長打率0.327
伊藤　光, (オ), 右打ち, 80試合, 打率0.241, 203打席, 45安打, 3本塁打, 15打点, 36三振, 長打率0.326
清田　育宏, (ロ), 右打ち, 106試合, 打率0.225, 417打席, 82安打, 6本塁打, 38打点, 76三振, 長打率0.326
奥浪　鏡, (オ), 右打ち, 15試合, 打率0.265, 42打席, 9安打, 0本塁打, 1打点, 11三振, 長打率0.324
近藤　健介, (日), 左打ち, 80試合, 打率0.265, 291打席, 68安打, 2本塁打, 27打点, 45三振, 長打率0.323
安達　了一, (オ), 右打ち, 118試合, 打率0.273, 488打席, 110安打, 1本塁打, 34打点, 53三振, 長打率0.323
本多　雄一, (ソ), 左打ち, 110試合, 打率0.280, 388打席, 93安打, 1本塁打, 27打点, 51三振, 長打率0.322
ボグセビック, (オ), 左打ち, 60試合, 打率0.187, 193打席, 32安打, 3本塁打, 18打点, 48三振, 長打率0.322
藤田　一也, (楽), 左打ち, 120試合, 打率0.265, 449打席, 108安打, 0本塁打, 46打点, 44三振, 長打率0.321
_谷　裕亮, (ソ), 左打ち, 37試合, 打率0.247, 103打席, 20安打, 2本塁打, 16打点, 12三振, 長打率0.321
大嶺　翔太, (ロ), 右打ち, 38試合, 打率0.236, 80打席, 17安打, 0本塁打, 7打点, 20三振, 長打率0.319
_濱　卓也, (ロ), 左打ち, 53試合, 打率0.215, 158打席, 31安打, 3本塁打, 13打点, 30三振, 長打率0.319
岡田　幸文, (ロ), 左打ち, 121試合, 打率0.275, 356打席, 90安打, 0本塁打, 18打点, 42三振, 長打率0.315
園部　聡, (オ), 右打ち, 16試合, 打率0.204, 57打席, 11安打, 1本塁打, 6打点, 24三振, 長打率0.315
田中　賢介, (日), 左打ち, 143試合, 打率0.272, 626打席, 147安打, 2本塁打, 53打点, 56三振, 長打率0.312
金子　侑司, (西), 両打ち, 129試合, 打率0.265, 520打席, 122安打, 1本塁打, 33打点, 69三振, 長打率0.311
中川　大志, (楽), 右打ち, 22試合, 打率0.203, 80打席, 15安打, 2本塁打, 18打点, 21三振, 長打率0.311
加藤　翔平, (ロ), 両打ち, 80試合, 打率0.245, 246打席, 53安打, 0本塁打, 12打点, 46三振, 長打率0.310
中村　奨吾, (ロ), 右打ち, 108試合, 打率0.201, 325打席, 56安打, 6本塁打, 25打点, 70三振, 長打率0.309
杉谷　拳士, (日), 両打ち, 62試合, 打率0.240, 138打席, 25安打, 0本塁打, 9打点, 23三振, 長打率0.308
小島　脩平, (オ), 左打ち, 79試合, 打率0.246, 219打席, 49安打, 0本塁打, 9打点, 29三振, 長打率0.307
谷口　雄也, (日), 左打ち, 83試合, 打率0.254, 211打席, 49安打, 1本塁打, 9打点, 48三振, 長打率0.306
明石　健志, (ソ), 左打ち, 47試合, 打率0.230, 152打席, 31安打, 0本塁打, 16打点, 34三振, 長打率0.304
松井　稼頭央, (楽), 両打ち, 56試合, 打率0.213, 179打席, 34安打, 2本塁打, 13打点, 42三振, 長打率0.300
外崎　修汰, (西), 右打ち, 37試合, 打率0.176, 57打席, 9安打, 2本塁打, 5打点, 11三振, 長打率0.294
オコエ　瑠偉, (楽), 右打ち, 51試合, 打率0.185, 130打席, 22安打, 1本塁打, 6打点, 27三振, 長打率0.294
松本　剛, (日), 右打ち, 12試合, 打率0.238, 22打席, 5安打, 0本塁打, 2打点, 5三振, 長打率0.286
若月　健矢, (オ), 右打ち, 85試合, 打率0.227, 262打席, 52安打, 0本塁打, 20打点, 42三振, 長打率0.284
細川　亨, (ソ), 右打ち, 49試合, 打率0.226, 115打席, 21安打, 1本塁打, 6打点, 28三振, 長打率0.280
牧原　大成, (ソ), 左打ち, 41試合, 打率0.244, 97打席, 22安打, 0本塁打, 6打点, 15三振, 長打率0.278
淺間　大基, (日), 左打ち, 52試合, 打率0.191, 115打席, 21安打, 1本塁打, 9打点, 36三振, 長打率0.273
フェルナンド, (楽), 右打ち, 4試合, 打率0.182, 11打席, 2安打, 0本塁打, 0打点, 3三振, 長打率0.273
足立　祐一, (楽), 右打ち, 73試合, 打率0.227, 208打席, 42安打, 1本塁打, 14打点, 36三振, 長打率0.270
斐紹, (ソ), 左打ち, 13試合, 打率0.231, 31打席, 6安打, 0本塁打, 1打点, 8三振, 長打率0.269
炭谷　銀仁_, (西), 右打ち, 117試合, 打率0.218, 326打席, 64安打, 1本塁打, 22打点, 48三振, 長打率0.269
中島　卓也, (日), 左打ち, 143試合, 打率0.243, 600打席, 115安打, 0本塁打, 28打点, 117三振, 長打率0.268
福浦　和也, (ロ), 左打ち, 36試合, 打率0.244, 90打席, 20安打, 0本塁打, 7打点, 12三振, 長打率0.268
大嶋　匠, (日), 左打ち, 12試合, 打率0.200, 17打席, 3安打, 0本塁打, 1打点, 2三振, 長打率0.267
上林　誠知, (ソ), 左打ち, 14試合, 打率0.211, 19打席, 4安打, 0本塁打, 1打点, 7三振, 長打率0.263
木村　昇吾, (西), 左打ち, 38試合, 打率0.221, 108打席, 21安打, 0本塁打, 5打点, 22三振, 長打率0.263
縞田　拓弥, (オ), 右打ち, 31試合, 打率0.167, 46打席, 7安打, 1本塁打, 3打点, 8三振, 長打率0.262
宮_　祐樹, (オ), 右打ち, 23試合, 打率0.238, 49打席, 10安打, 0本塁打, 0打点, 8三振, 長打率0.262
大城　滉二, (オ), 右打ち, 64試合, 打率0.224, 177打席, 36安打, 0本塁打, 7打点, 38三振, 長打率0.261
阿部　俊人, (楽), 左打ち, 55試合, 打率0.185, 28打席, 5安打, 0本塁打, 2打点, 8三振, 長打率0.259
清水　優心, (日), 右打ち, 5試合, 打率0.250, 8打席, 2安打, 0本塁打, 0打点, 2三振, 長打率0.250
田代　将太郎, (西), 左打ち, 13試合, 打率0.250, 5打席, 1安打, 0本塁打, 0打点, 0三振, 長打率0.250
哲_, (楽), 右打ち, 11試合, 打率0.100, 21打席, 2安打, 1本塁打, 1打点, 6三振, 長打率0.250
東明　大貴, (オ), 右打ち, 24試合, 打率0.250, 5打席, 1安打, 0本塁打, 1打点, 3三振, 長打率0.250
西　勇輝, (オ), 右打ち, 26試合, 打率0.250, 4打席, 1安打, 0本塁打, 0打点, 1三振, 長打率0.250
ゴームズ, (楽), 右打ち, 18試合, 打率0.169, 75打席, 11安打, 1本塁打, 7打点, 22三振, 長打率0.246
伏見　寅威, (オ), 右打ち, 17試合, 打率0.242, 35打席, 8安打, 0本塁打, 1打点, 6三振, 長打率0.242
三木　亮, (ロ), 右打ち, 75試合, 打率0.185, 58打席, 10安打, 0本塁打, 2打点, 17三振, 長打率0.241
平沢　大河, (ロ), 左打ち, 23試合, 打率0.149, 53打席, 7安打, 0本塁打, 3打点, 18三振, 長打率0.234
呉　念庭, (西), 左打ち, 43試合, 打率0.194, 142打席, 24安打, 0本塁打, 11打点, 25三振, 長打率0.234
駿太, (オ), 左打ち, 105試合, 打率0.192, 239打席, 41安打, 1本塁打, 9打点, 40三振, 長打率0.229
岡田　雅利, (西), 右打ち, 47試合, 打率0.227, 79打席, 15安打, 0本塁打, 5打点, 18三振, 長打率0.227
吉持　亮汰, (楽), 右打ち, 21試合, 打率0.161, 37打席, 5安打, 0本塁打, 1打点, 6三振, 長打率0.226
川端　崇義, (オ), 右打ち, 28試合, 打率0.194, 71打席, 12安打, 0本塁打, 5打点, 11三振, 長打率0.226
金澤　岳, (ロ), 左打ち, 17試合, 打率0.188, 41打席, 6安打, 0本塁打, 2打点, 13三振, 長打率0.219
原　拓也, (オ), 左打ち, 36試合, 打率0.189, 43打席, 7安打, 0本塁打, 4打点, 7三振, 長打率0.216
岩_　恭平, (オ), 左打ち, 9試合, 打率0.214, 15打席, 3安打, 0本塁打, 0打点, 5三振, 長打率0.214
川本　良平, (楽), 右打ち, 11試合, 打率0.158, 23打席, 3安打, 0本塁打, 2打点, 4三振, 長打率0.211
_田　知季, (ソ), 左打ち, 36試合, 打率0.175, 77打席, 11安打, 0本塁打, 2打点, 15三振, 長打率0.206
カニザレス, (ソ), 右打ち, 16試合, 打率0.179, 42打席, 7安打, 0本塁打, 3打点, 11三振, 長打率0.205
市川　友也, (日), 右打ち, 71試合, 打率0.165, 156打席, 22安打, 1本塁打, 12打点, 28三振, 長打率0.203
千賀　滉大, (ソ), 左打ち, 25試合, 打率0.200, 5打席, 1安打, 0本塁打, 0打点, 4三振, 長打率0.200
