田中　広輔, (広), 左打ち, 143試合, 打率0.265, 679打席, 154安打, 13本塁打, 39打点, 119三振, 長打率0.372
坂口　智隆, (ヤ), 左打ち, 141試合, 打率0.295, 607打席, 155安打, 0本塁打, 39打点, 66三振, 長打率0.340
田村　龍弘, (ロ), 右打ち, 130試合, 打率0.256, 430打席, 95安打, 2本塁打, 38打点, 91三振, 長打率0.332
モレル, (オ), 右打ち, 94試合, 打率0.244, 348打席, 75安打, 8本塁打, 38打点, 88三振, 長打率0.364
モレル, (オ), 右打ち, 94試合, 打率0.244, 348打席, 75安打, 8本塁打, 38打点, 88三振, 長打率0.364
宮_　敏郎, (デ), 右打ち, 101試合, 打率0.291, 335打席, 88安打, 11本塁打, 36打点, 30三振, 長打率0.454
鳥谷　敬, (神), 左打ち, 143試合, 打率0.236, 533打席, 106安打, 7本塁打, 36打点, 80三振, 長打率0.323
小林　誠司, (巨), 右打ち, 129試合, 打率0.204, 458打席, 81安打, 4本塁打, 35打点, 76三振, 長打率0.269
井口　資仁, (ロ), 右打ち, 79試合, 打率0.257, 176打席, 39安打, 5本塁打, 34打点, 50三振, 長打率0.408
ルナ, (広), 右打ち, 67試合, 打率0.272, 268打席, 66安打, 5本塁打, 34打点, 47三振, 長打率0.374
金子　侑司, (西), 両打ち, 129試合, 打率0.265, 520打席, 122安打, 1本塁打, 33打点, 69三振, 長打率0.311
西野　真弘, (オ), 左打ち, 143試合, 打率0.264, 610打席, 142安打, 2本塁打, 33打点, 55三振, 長打率0.331
西野　真弘, (オ), 左打ち, 143試合, 打率0.264, 610打席, 142安打, 2本塁打, 33打点, 55三振, 長打率0.331
安部　友裕, (広), 左打ち, 115試合, 打率0.282, 292打席, 73安打, 6本塁打, 33打点, 64三振, 長打率0.429
安部　友裕, (広), 左打ち, 115試合, 打率0.282, 292打席, 73安打, 6本塁打, 33打点, 64三振, 長打率0.429
北條　史也, (神), 右打ち, 122試合, 打率0.273, 438打席, 105安打, 5本塁打, 33打点, 91三振, 長打率0.382
山川　穂高, (西), 右打ち, 49試合, 打率0.259, 157打席, 36安打, 14本塁打, 32打点, 36三振, 長打率0.590
川端　慎吾, (ヤ), 左打ち, 103試合, 打率0.302, 458打席, 127安打, 1本塁打, 32打点, 31三振, 長打率0.367
高橋　周平, (中), 左打ち, 75試合, 打率0.251, 283打席, 64安打, 4本塁打, 29打点, 84三振, 長打率0.369
吉村　裕基, (ソ), 右打ち, 78試合, 打率0.209, 206打席, 37安打, 5本塁打, 28打点, 46三振, 長打率0.328
西浦　直亨, (ヤ), 右打ち, 72試合, 打率0.255, 273打席, 63安打, 7本塁打, 28打点, 54三振, 長打率0.389
近藤　健介, (日), 左打ち, 80試合, 打率0.265, 291打席, 68安打, 2本塁打, 27打点, 45三振, 長打率0.323
近藤　健介, (日), 左打ち, 80試合, 打率0.265, 291打席, 68安打, 2本塁打, 27打点, 45三振, 長打率0.323
本多　雄一, (ソ), 左打ち, 110試合, 打率0.280, 388打席, 93安打, 1本塁打, 27打点, 51三振, 長打率0.322
杉山　翔大, (中), 右打ち, 104試合, 打率0.260, 311打席, 70安打, 3本塁打, 27打点, 60三振, 長打率0.357
杉山　翔大, (中), 右打ち, 104試合, 打率0.260, 311打席, 70安打, 3本塁打, 27打点, 60三振, 長打率0.357
坂田　遼, (西), 左打ち, 45試合, 打率0.245, 161打席, 37安打, 3本塁打, 26打点, 22三振, 長打率0.371
ペゲーロ, (楽), 左打ち, 51試合, 打率0.279, 200打席, 51安打, 10本塁打, 26打点, 67三振, 長打率0.492
會澤　翼, (広), 右打ち, 83試合, 打率0.239, 220打席, 47安打, 7本塁打, 26打点, 42三振, 長打率0.381
荻野　貴司, (ロ), 右打ち, 71試合, 打率0.250, 219打席, 48安打, 3本塁打, 21打点, 25三振, 長打率0.365
若月　健矢, (オ), 右打ち, 85試合, 打率0.227, 262打席, 52安打, 0本塁打, 20打点, 42三振, 長打率0.284
安部　友裕, (広), 左打ち, 115試合, 打率0.282, 292打席, 73安打, 6本塁打, 33打点, 64三振, 長打率0.429
橋本　到, (巨), 左打ち, 74試合, 打率0.233, 259打席, 51安打, 2本塁打, 20打点, 45三振, 長打率0.338
江越　大賀, (神), 右打ち, 72試合, 打率0.209, 217打席, 40安打, 7本塁打, 20打点, 78三振, 長打率0.361
大和, (神), 右打ち, 111試合, 打率0.231, 259打席, 53安打, 1本塁打, 20打点, 53三振, 長打率0.323
聖澤　諒, (楽), 左打ち, 94試合, 打率0.294, 229打席, 59安打, 3本塁打, 19打点, 41三振, 長打率0.388
聖澤　諒, (楽), 左打ち, 94試合, 打率0.294, 229打席, 59安打, 3本塁打, 19打点, 41三振, 長打率0.388
藤井　淳志, (中), 両打ち, 87試合, 打率0.216, 187打席, 36安打, 3本塁打, 19打点, 45三振, 長打率0.311
